"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=g084&geo=fvvvvvvvvvvvo&sec=g&freq=A&start=2001&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Nebraska : wind","thousand megawatthours","ELEC.GEN.WND-NE-99.A",3,8,38,38,97,261,217,214,383,422,1051,1284,1802,2737,3180,3798,5084,5549,7211,9115,9592,12614,11845,11891
"Nebraska : all solar","thousand megawatthours","ELEC.GEN.TSN-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1,1,7,21,38,47,74,86,110,129,254
"North Dakota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"North Dakota : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-ND-99.A",30332,31306,31322,29936,31933,30881,31224,32735,34196,34740,35080,36125,35022,36463,37157,37856,41505,42615,41147,42176,43032,44401,42069,42557
"North Dakota : other renewables",,"ELEC.GEN.AOR-ND-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"North Dakota : wind","thousand megawatthours","ELEC.GEN.WND-ND-99.A","--","--",59,215,220,369,621,1693,2998,4096,5236,5275,5519,6202,6506,8172,11359,10733,11213,13634,14935,16250,14477,14763
"North Dakota : all solar","thousand megawatthours","ELEC.GEN.TSN-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,1,1,1,2,2,3
"South Dakota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-SD-99.A",7401,7722,7944,7510,6521,7132,6137,7083,8197,10050,11999,11473,10109,10995,9633,11524,10936,12616,14507,14147,17322,17900,17436,20872
"South Dakota : other renewables",,"ELEC.GEN.AOR-SD-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota : wind","thousand megawatthours","ELEC.GEN.WND-SD-99.A",1,6,44,158,158,149,150,145,421,1372,2668,2354,2688,2336,2498,3714,2958,2835,2789,5544,9327,10295,9376,12074
"South Dakota : all solar","thousand megawatthours","ELEC.GEN.TSN-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",0,1,1,3,3,3,4,4,4,50,346
"South Atlantic",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"South Atlantic : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-SAT-99.A",727852,775207,787773,797795,822781,809350,835190,800786,754700,802695,762286,747508,760976,784957,792087,813880,792859,819993,811088,795002,802487,807112,800717,835080
"South Atlantic : other renewables",,"ELEC.GEN.AOR-SAT-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"South Atlantic : wind","thousand megawatthours","ELEC.GEN.WND-SAT-99.A","--",9,170,161,154,174,168,392,742,943,1378,1611,1713,1780,1816,1971,2719,2888,2680,2995,2711,3106,3151,3144
"South Atlantic : all solar","thousand megawatthours","ELEC.GEN.TSN-SAT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1919,2733,6080,10482,14520,18803,25898,34909,43481,50516,60789
"Delaware",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Delaware : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-DE-99.A",6808,6002,7392,7856,8137,7182,8534,7524,4842,5628,6590,8634,7761,7704,7810,8731,7496,6241,5259,5205,4305,5308,4772,4799
"Delaware : other renewables",,"ELEC.GEN.AOR-DE-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Delaware : wind","thousand megawatthours","ELEC.GEN.WND-DE-99.A","--","--","--","--","--","--","--","--","--",3,5,4,4,5,5,5,5,5,5,5,5,4,4,3
"Delaware : all solar","thousand megawatthours","ELEC.GEN.TSN-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",121,128,119,143,160,178,183,196,222,344,369
"District Of Columbia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"District Of Columbia : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-DC-99.A",123,262,74,36,226,81,75,72,35,200,201,72,66,68,54,76,67,79,174,201,211,160,172,187
"District Of Columbia : other renewables",,"ELEC.GEN.AOR-DC-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"District Of Columbia : wind","thousand megawatthours","ELEC.GEN.WND-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : all solar","thousand megawatthours","ELEC.GEN.TSN-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",31,32,32,52,71,103,131,166,198,231,289
"Florida",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Florida : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-FL-99.A",190945,203353,212610,218118,220256,223752,225416,219637,217952,229096,221895,221096,222399,230016,237413,238262,238413,244252,245603,250828,247907,258910,259798,266119
"Florida : other renewables",,"ELEC.GEN.AOR-FL-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Florida : wind","thousand megawatthours","ELEC.GEN.WND-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida : all solar","thousand megawatthours","ELEC.GEN.TSN-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",361,380,429,1169,2841,4590,7627,10754,13885,17804,23261
"Georgia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Georgia : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-GA-99.A",118317,126512,124077,126813,136668,138010,145155,136173,128698,137577,124749,122306,120954,125837,128818,133380,127455,129239,128692,120129,124201,126485,129222,139805
"Georgia : other renewables",,"ELEC.GEN.AOR-GA-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Georgia : wind","thousand megawatthours","ELEC.GEN.WND-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia : all solar","thousand megawatthours","ELEC.GEN.TSN-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",218,229,1076,2212,2265,2467,4109,5241,7332,8069,9753
"Maryland",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Maryland : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MD-99.A",49062,48279,52244,52053,52662,48957,50198,47361,43775,43607,41818,37810,35851,37834,36366,37167,34104,43810,39326,36029,38235,37139,36001,35425
"Maryland : other renewables",,"ELEC.GEN.AOR-MD-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Maryland : wind","thousand megawatthours","ELEC.GEN.WND-MD-99.A","--","--","--","--","--","--","--","--","--",1,271,322,322,324,435,527,561,570,520,546,517,498,482,558
"Maryland : all solar","thousand megawatthours","ELEC.GEN.TSN-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",351,457,728,1002,1246,1460,1522,1657,1996,2325,2515
"North Carolina",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
